mode,orig_key,new_key,orig_bytes,new_bytes,saved_bytes,saved_pct,status
image,website-content/campus life /Landng photo.webp,website-content/optimized/campus life /Landng photo.webp,2557260,324978,2232282,87.3,dry
image,website-content/campus life /industry and ent club.webp,website-content/optimized/campus life /industry and ent club.webp,2316328,104898,2211430,95.5,dry
image,website-content/campus life /sports and adventure club.webp,website-content/optimized/campus life /sports and adventure club.webp,3199034,281070,2917964,91.2,dry
image,website-content/beyond the class room/DSC09084.webp,website-content/optimized/beyond the class room/DSC09084.webp,3922016,339420,3582596,91.3,dry
image,website-content/campus/gallery-16.webp,website-content/optimized/campus/gallery-16.webp,2460056,345748,2114308,85.9,dry
image,website-content/campus/gallery-3.webp,website-content/optimized/campus/gallery-3.webp,2318802,359178,1959624,84.5,dry
image,website-content/campus/gallery-9.webp,website-content/optimized/campus/gallery-9.webp,3136508,469010,2667498,85.0,dry
image,website-content/JLu events/photos/Mental Health week/IMG_7856.webp,website-content/optimized/JLu events/photos/Mental Health week/IMG_7856.webp,2196638,353268,1843370,83.9,dry
image,website-content/JLu events/photos/Mental Health week/IMG_7813.webp,website-content/optimized/JLu events/photos/Mental Health week/IMG_7813.webp,2106036,375356,1730680,82.2,dry
image,website-content/schools/advertising-2.webp,website-content/optimized/schools/advertising-2.webp,2739544,265302,2474242,90.3,dry
image,website-content/schools/advertising-1.webp,website-content/optimized/schools/advertising-1.webp,2070866,192780,1878086,90.7,dry
image,website-content/acedemics/acedemics landing page.webp,website-content/optimized/acedemics/acedemics landing page.webp,1038772,113250,925522,89.1,done
image,website-content/campus life /Landng photo.webp,website-content/optimized/campus life /Landng photo.webp,2557260,324978,2232282,87.3,done
image,website-content/campus life /industry and ent club.webp,website-content/optimized/campus life /industry and ent club.webp,2316328,104898,2211430,95.5,done
image,website-content/campus life /sports and adventure club.webp,website-content/optimized/campus life /sports and adventure club.webp,3199034,281070,2917964,91.2,done
image,website-content/campus life /champion oshel sachdeva.webp,website-content/optimized/campus life /champion oshel sachdeva.webp,1264948,99212,1165736,92.2,done
image,website-content/campus life /mun&debating club.webp,website-content/optimized/campus life /mun&debating club.webp,1617382,154420,1462962,90.5,done
image,website-content/campus life /photography.webp,website-content/optimized/campus life /photography.webp,1867356,266386,1600970,85.7,done
image,website-content/beyond the class room/DSC09084.webp,website-content/optimized/beyond the class room/DSC09084.webp,3922016,339420,3582596,91.3,done
image,website-content/campus/gallery-11.webp,website-content/optimized/campus/gallery-11.webp,1242144,197184,1044960,84.1,done
image,website-content/campus/gallery-10.webp,website-content/optimized/campus/gallery-10.webp,1518644,202050,1316594,86.7,done
image,website-content/campus/computer lab.webp,website-content/optimized/campus/computer lab.webp,1038772,113250,925522,89.1,done
image,website-content/campus/gallery-16.webp,website-content/optimized/campus/gallery-16.webp,2460056,345748,2114308,85.9,done
image,website-content/campus/gallery-3.webp,website-content/optimized/campus/gallery-3.webp,2318802,359178,1959624,84.5,done
image,website-content/campus/gym.webp,website-content/optimized/campus/gym.webp,1042792,122894,919898,88.2,done
image,website-content/campus/gallery-13.webp,website-content/optimized/campus/gallery-13.webp,1865130,277586,1587544,85.1,done
image,website-content/campus/gallery-9.webp,website-content/optimized/campus/gallery-9.webp,3136508,469010,2667498,85.0,done
image,website-content/herobg-new.webp,website-content/optimized/herobg-new.webp,1310918,355888,955030,72.9,done
image,website-content/JLu events/photos/JAgran of Social science/DSC08874.webp,website-content/optimized/JLu events/photos/JAgran of Social science/DSC08874.webp,1355676,92858,1262818,93.2,done
image,website-content/JLu events/photos/JAgran of Social science/DSC08838.webp,website-content/optimized/JLu events/photos/JAgran of Social science/DSC08838.webp,1293228,121558,1171670,90.6,done
image,website-content/JLu events/photos/Lehar/IMG_8971.webp,website-content/optimized/JLu events/photos/Lehar/IMG_8971.webp,1129168,184878,944290,83.6,done
image,website-content/JLu events/photos/JAgran of Social science/DSC08858.webp,website-content/optimized/JLu events/photos/JAgran of Social science/DSC08858.webp,1181886,100328,1081558,91.5,done
image,website-content/JLu events/photos/Lehar/IMG_9067.webp,website-content/optimized/JLu events/photos/Lehar/IMG_9067.webp,1255476,199290,1056186,84.1,done
image,website-content/JLu events/photos/Mental Health week/IMG_7837.webp,website-content/optimized/JLu events/photos/Mental Health week/IMG_7837.webp,1264170,197254,1066916,84.4,done
image,website-content/JLu events/photos/Mental Health week/IMG_7856.webp,website-content/optimized/JLu events/photos/Mental Health week/IMG_7856.webp,2196638,353268,1843370,83.9,done
image,website-content/JLu events/photos/Mental Health week/IMG_7775.webp,website-content/optimized/JLu events/photos/Mental Health week/IMG_7775.webp,1258522,207766,1050756,83.5,done
image,website-content/JLu events/photos/Mental Health week/IMG_7813.webp,website-content/optimized/JLu events/photos/Mental Health week/IMG_7813.webp,2106036,375356,1730680,82.2,done
image,website-content/leadership/pvc-science-tech-new.webp,website-content/optimized/leadership/pvc-science-tech-new.webp,1105184,98320,1006864,91.1,done
image,website-content/leadership/cfo-new.webp,website-content/optimized/leadership/cfo-new.webp,1515536,103486,1412050,93.2,done
image,website-content/leadership/vice-chancellor-new.webp,website-content/optimized/leadership/vice-chancellor-new.webp,1459806,107618,1352188,92.6,done
image,website-content/leadership/registrar-new.webp,website-content/optimized/leadership/registrar-new.webp,1491542,102888,1388654,93.1,done
image,website-content/schools/advertising-2.webp,website-content/optimized/schools/advertising-2.webp,2739544,265302,2474242,90.3,done
image,website-content/schools/advertising-1.webp,website-content/optimized/schools/advertising-1.webp,2070866,192780,1878086,90.7,done
image,website-content/schools/design-1.webp,website-content/optimized/schools/design-1.webp,3136508,469010,2667498,85.0,done
image,website-content/schools/fashion-1.webp,website-content/optimized/schools/fashion-1.webp,2318802,359178,1959624,84.5,done
